"sampleID","patient","type","A2ML1"
"TCGA-55-6981-01A","TCGA-55-6981","tumor",1.7544
"TCGA-55-6982-01A","TCGA-55-6982","tumor",7.375
"TCGA-55-6983-01A","TCGA-55-6983","tumor",8.156
"TCGA-55-6984-01A","TCGA-55-6984","tumor",672.7605
"TCGA-55-6985-01A","TCGA-55-6985","tumor",0.7463
"TCGA-55-6986-01A","TCGA-55-6986","tumor",2.907
"TCGA-55-6987-01A","TCGA-55-6987","tumor",5.6497
"TCGA-55-7227-01A","TCGA-55-7227","tumor",0.6911
"TCGA-55-7281-01A","TCGA-55-7281","tumor",132.7635
"TCGA-55-7283-01A","TCGA-55-7283","tumor",0
"TCGA-55-7570-01A","TCGA-55-7570","tumor",0.8715
"TCGA-55-7573-01A","TCGA-55-7573","tumor",1.6013
"TCGA-55-7574-01A","TCGA-55-7574","tumor",1.5876
"TCGA-55-7576-01A","TCGA-55-7576","tumor",2.4439
"TCGA-55-7724-01A","TCGA-55-7724","tumor",6247.495
"TCGA-55-7725-01A","TCGA-55-7725","tumor",3.1513
"TCGA-55-7726-01A","TCGA-55-7726","tumor",16.8589
"TCGA-55-7727-01A","TCGA-55-7727","tumor",1.8349
"TCGA-55-7728-01A","TCGA-55-7728","tumor",10.3723
"TCGA-55-7815-01A","TCGA-55-7815","tumor",2.004
"TCGA-55-7816-01A","TCGA-55-7816","tumor",0.8602
"TCGA-55-7903-01A","TCGA-55-7903","tumor",0.4983
"TCGA-55-7907-01A","TCGA-55-7907","tumor",473.0258
"TCGA-55-7910-01A","TCGA-55-7910","tumor",0.9259
"TCGA-55-7911-01A","TCGA-55-7911","tumor",0
"TCGA-55-7914-01A","TCGA-55-7914","tumor",2.9985
"TCGA-55-7994-01A","TCGA-55-7994","tumor",7.5987
"TCGA-55-7995-01A","TCGA-55-7995","tumor",1233.7506
"TCGA-55-8085-01A","TCGA-55-8085","tumor",2.4356
"TCGA-55-8087-01A","TCGA-55-8087","tumor",0
"TCGA-55-8089-01A","TCGA-55-8089","tumor",4.1583
"TCGA-55-8090-01A","TCGA-55-8090","tumor",0.3097
"TCGA-55-8091-01A","TCGA-55-8091","tumor",0
"TCGA-55-8092-01A","TCGA-55-8092","tumor",6.2281
"TCGA-55-8094-01A","TCGA-55-8094","tumor",0
"TCGA-55-8096-01A","TCGA-55-8096","tumor",4.3659
"TCGA-55-8097-01A","TCGA-55-8097","tumor",0.4003
"TCGA-55-8203-01A","TCGA-55-8203","tumor",3.2353
"TCGA-55-8204-01A","TCGA-55-8204","tumor",265.5579
"TCGA-55-8205-01A","TCGA-55-8205","tumor",0
"TCGA-55-8206-01A","TCGA-55-8206","tumor",0
"TCGA-55-8207-01A","TCGA-55-8207","tumor",0.3632
"TCGA-55-8208-01A","TCGA-55-8208","tumor",6.7045
"TCGA-55-8299-01A","TCGA-55-8299","tumor",4.2236
"TCGA-55-8301-01A","TCGA-55-8301","tumor",0
"TCGA-55-8302-01A","TCGA-55-8302","tumor",1.1076
"TCGA-55-8505-01A","TCGA-55-8505","tumor",1604.5963
"TCGA-55-8506-01A","TCGA-55-8506","tumor",0
"TCGA-55-8507-01A","TCGA-55-8507","tumor",21.645
"TCGA-55-8508-01A","TCGA-55-8508","tumor",5.305
"TCGA-55-8510-01A","TCGA-55-8510","tumor",0
"TCGA-55-8511-01A","TCGA-55-8511","tumor",11.9452
"TCGA-55-8512-01A","TCGA-55-8512","tumor",5.3447
"TCGA-55-8513-01A","TCGA-55-8513","tumor",34.8665
"TCGA-55-8514-01A","TCGA-55-8514","tumor",0
"TCGA-55-8614-01A","TCGA-55-8614","tumor",17.6018
"TCGA-55-8615-01A","TCGA-55-8615","tumor",3.7433
"TCGA-55-8616-01A","TCGA-55-8616","tumor",4.2017
"TCGA-55-8619-01A","TCGA-55-8619","tumor",12.2306
"TCGA-55-8620-01A","TCGA-55-8620","tumor",0.5953
"TCGA-55-8621-01A","TCGA-55-8621","tumor",1.0714
"TCGA-55-A48X-01A","TCGA-55-A48X","tumor",4.8876
"TCGA-55-A48Y-01A","TCGA-55-A48Y","tumor",2.1008
"TCGA-55-A48Z-01A","TCGA-55-A48Z","tumor",0.9611
"TCGA-55-A490-01A","TCGA-55-A490","tumor",0.492
"TCGA-55-A491-01A","TCGA-55-A491","tumor",0
"TCGA-55-A492-01A","TCGA-55-A492","tumor",0.5356
"TCGA-55-A493-01A","TCGA-55-A493","tumor",0.4848
"TCGA-55-A494-01A","TCGA-55-A494","tumor",2.6607
"TCGA-55-A4DF-01A","TCGA-55-A4DF","tumor",2.7739
"TCGA-55-A4DG-01A","TCGA-55-A4DG","tumor",0
"TCGA-55-A57B-01A","TCGA-55-A57B","tumor",1.4104
"TCGA-62-8394-01A","TCGA-62-8394","tumor",5.8218
"TCGA-62-8395-01A","TCGA-62-8395","tumor",0.8772
"TCGA-62-8397-01A","TCGA-62-8397","tumor",0
"TCGA-62-8398-01A","TCGA-62-8398","tumor",0.3753
"TCGA-62-8399-01A","TCGA-62-8399","tumor",0
"TCGA-62-8402-01A","TCGA-62-8402","tumor",0.4927
"TCGA-62-A46O-01A","TCGA-62-A46O","tumor",1.6722
"TCGA-62-A46P-01A","TCGA-62-A46P","tumor",0
"TCGA-62-A46R-01A","TCGA-62-A46R","tumor",0
"TCGA-62-A46S-01A","TCGA-62-A46S","tumor",1.766
"TCGA-62-A46U-01A","TCGA-62-A46U","tumor",3.6991
"TCGA-62-A46V-01A","TCGA-62-A46V","tumor",0
"TCGA-62-A46Y-01A","TCGA-62-A46Y","tumor",0
